[0:00]  Buenas. Buenas noches.
[1:11:57]  Bueno, más claro, imposible.
[1:12:02]  Venezuela ni produce no tiene laboratorio
[1:12:07]  y no hay tráfico por aquí, le damos, palo parejo.
[1:12:12]  Y aquí al consumo, como se llama,
[1:12:15]  se llama a decir a los estadíticos es despreciable, comparado.
[1:12:21]  El país donde hay mayor consumo de droga es en Estados Unidos.
[1:12:27]  No es Venezuela.
[1:12:30]  No es Venezuela.
[1:12:31]  Si Estados Unidos quisiera combater la droga de veristar en el pacífico.
[1:12:40]  Si quieren nos dan esa misión a nosotros,
[1:12:42]  firmé una cuerda entre todo y nos dan esa misión a nosotros
[1:12:45]  y nos vamos a pasar el pacífico porque tú ya como le damos,
[1:12:46]  palo en el narcotráfico.
[1:12:49]  Palo en el narcotráfico.
[1:12:51]  Físme a un acuerdo y nos dan a autoridad y nos vamos a fallar
[1:12:54]  para que usted vea cómo se combate en el narcotráfico.
[1:12:57]  Bien, aquí a acusar lo que no tiene que acusar y vivir aquí de Ávila,
[1:13:00]  vivir aquí de Ávila desde la escartela de la droga, no es nuevo.
[1:13:05]  Alberto Róneo, en bajador, todo y es tori.
[1:13:08]  Conciera que todo el mundo espera la caída de Nicolás Maduro,
[1:13:11]  pero no es el momento todo el mundo.
[1:13:13]  Te sías, ¿cómo?
[1:13:17]  Muy bocón, ¿vale?
[1:13:18]  Típo que es un inécto fracasado.
[1:13:21]  Lo que se envuelvaron ahorita.
[1:13:24]  Yo me lo llone a la gente, la posición más saca un tipo tan.
[1:13:28]  Esto es el guaydo.
[1:13:30]  ¿Le sube, Pucca?
[1:13:32]  Por cierto, usted no viene una guaydo.
[1:13:36]  Ya va, ya va.
[1:13:38]  ¿Puén yo lo voy a pasar otra foto que me mandó,
[1:13:43]  un patio técnico perante que lo tengo, caixando.
[1:13:45]  Porque a presidente dijo que cuando no lo enviera yo lo recibiera, ¿vale?
[1:13:49]  Yo tengo que cuidarlo desde ella, porque me nos mandé.
[1:13:54]  ¿Y va?
[1:13:56]  Pero voy a pasar señores, va a calir prima por favor.
[1:14:02]  Me la dejó ahorita, porque cuando yo hables, está cata.
[1:14:08]  Estoy estóre y inécto.
[1:14:12]  Inécto.
[1:14:14]  Y cuando que, nada, el narcotraficante demodan en Colombia,
[1:14:18]  que no cuida la forma, que no cuida las formas.
[1:14:22]  Colombia debe establecer relaciones diplomáticas con Israel
[1:14:26]  respaldando la solución de dos estados y participando en escenarios multilaterales
[1:14:32]  para promover la paz y reer promover la paz.
[1:14:35]  De ignorancia, no se va a morir.
[1:14:41]  Se la dio otra cosa.
[1:14:46]  Por el siguiente de Gullana, respaldó presencia militar de estados unidos en el caribe.
[1:14:52]  Este es otro que está sentenciando a su gente.
[1:14:56]  Estas sentenciando a su gente.
[1:14:59]  Si eso fue ese verdad lo que ocurrió, se va a saber la verdad.
[1:15:03]  ¿Por qué alguien va a decir?
[1:15:05]  Me familiar salió y no ha regresado.
[1:15:10]  Y se va a descubrientes en quienes son los asesinados.
[1:15:14]  Repondole, como andante.
[1:15:17]  Y aquí en Venezuela lo que estamos haciendo es un esfuerzo gigantesco
[1:15:23]  para cambiar de camino, para cambiar del camino al infierno al camino a la vida.
[1:15:31]  Para que nuestros niños puedan vivir, puedan alimentarse, puedan estudiar,
[1:15:37]  puedan formar, sinceramente, para que nuestras mujeres puedan partir dignamente
[1:15:45]  para que nuestros hombres y mujeres puedan trabajar para que nuestros muchachos
[1:15:52]  puedan estar en buenas escuelas, en buenas universidades o escuelas técnicas
[1:15:59]  para que nuestros ancianos puedan vivir con dignidad los últimos años de su vida.
[1:16:05]  Para que haya igualdad, para que el reino que anunció Cristo, sea haberdad,
[1:16:11]  el reino de la igualdad y el reino de la justicia, estas nuestras luchas,
[1:16:17]  estas nuestras verdaderas luchas y desde camino nada al inadio nos apartará.
[1:16:27]  Así que mantengan unos cuéjunidos y alertas, porque la oposición violenta
[1:16:38]  a los violentos de esos años, los lacallos del imperialismo apoyados por un asintón
[1:16:46]  y que han vuelto a iniciar una arremetida más contra nosotros, contra la paz,
[1:16:54]  contra el desarrollo, contra la buena marcha de Venezuela.
[1:16:59]  No podemos permitirle que los gransos objetivos,
[1:17:04]  la profesía de Bolíver, no hizo si no cumplirse.
[1:17:09]  Los Estados Unidos de Norteamérica parece intestinados por la providencia
[1:17:15]  para plagar la América de Misarias a nombre de la libertad y todos los gobiernos
[1:17:23]  que de una u otra manera se oponen al imperialismo comienzan a ser atacados,
[1:17:35]  comienzan a ser satanizados.
[1:17:20]  A nombre de la libertad y todos los gobiernos que de una u otra manera se oponen al imperialismo,
[1:17:33]  comienzan a ser atacados, comienzan a ser satanizados, comienzan a ser atropellados, ya han pasado
[1:17:46]  casi 200 años de aquella alerta que hacía el gran líder, el gran visionario que fue
[1:17:54]  si bombolívar, 200 años después, aquí estamos nosotros concentrados en esta caraca Bolivariana
[1:18:04]  para seguirle diciendo, no, al intervenciónismo norteamericano en nuestra tierra.
[1:18:12]  Aquí no vendrá o he aninad y he, aquí lo que hayas un pueblo libre y uno patriaso verana,
[1:18:24]  están muy equivocados, están muy equivocados, los que aquí están haciendo planes, pues
[1:18:36]  hayer captamos una comunicación por radio donde se surgía el idea de que como en los próximos
[1:18:47]  días, va a seguir habiendo violencia desatada en Venezuela y que ya Venezuela es un país
[1:18:56]  15,000,000 y que se va a declarar cinco repúblicas independientes y todo esto que la
[1:19:06]  voy a debe y hay preparando una reunión para aplicarle a Venezuela, la carta interamericana
[1:19:16]  y en el mismo mensaje se dice que la fuerza de intervención rápida de los marines, de
[1:19:25]  estar lista para venir a invadir a Venezuela, bueno, yo les voy a decir algo bastante
[1:19:33]  sabana, hay aquí, bastante es ahí la hay aquí, bastante salva hay aquí,
[1:19:56]  bastante tierra hay aquí y saben una cosa bastante pueblo hay aquí, y saben otra cosa,
[1:20:14]  bastante escojones hay aquí, para al vender la tierra, para vender esta patria,
[1:20:25]  de gu Secondo lo uso que hay他說 hayan
[1:20:32]  la base en Spanish de這一 arriverono, se habrá logrado de la Venezuela de todos los
[1:20:38]  nosotros puedo verleda.
[1:21:13]  en Gaza, superamadas, 63.000 personas de las cuales 2900 por ámbres de enero hasta
[1:21:22]  costo de 2025. No está duqued. Y Raer para la paz por Dios, que hajo. ¿Qué hajo?
[1:21:39]  Estran news. Y Raer de Sátelo Rojo, Robocexplosivo, Errazan Gaza, Genocidio,
[1:21:48]  tecnológico. Bueno, genocidio es ese enocidio. Una un cartucho e tecnología, eso no existía,
[1:21:57]  eso lo hicieron. Eso no se lo conseguía una en la, todo, todo genocidio implica el uso de la
[1:22:06]  tecnología. Lo triste es que el mundo en silencio. Por cierto, yo vi una nota. Yo vi una nota.
[1:22:16]  Solo para comentario. La ONU preocupada por las tensiones entre Estados Unidos y Venezuela.
[1:22:23]  Tensiones entre Estados Unidos y Venezuela. No. La ONU debería estar preocupada por las amenazas
[1:22:33]  y el acedio de Estados Unidos contra Venezuela. Eso es lo que debería estar aquí. No
[1:22:38]  hay tensionos, nosotros no tenemos un pueblo feliz. No me temo con nadie.
[1:22:44]  No me un pueblo de paz. No andamos amenazando ningún otro país. No decimos que
[1:22:51]  hemos invadido otro país bajo escúzas. Vamos a mentiras. No queremos un cambio de regimen
[1:22:59]  ningún otro país. Los asuntos interno de cada país. Los resuelve. Ese país. Y su pueblo.
[1:23:07]  Entonces, cuando un obe, cuando un obe estas cosas que la ONU está preocupada por la atención
[1:23:13]  entre Venezuela, no hay tensiones entre Venezuela, Estados Unidos. Hay agresión de Estados
[1:23:17]  Unidos de Venezuela. Hay un acedio, una amenaza. La Tente de Estados Unidos contra Venezuela.
[1:23:25]  La ONU debería estar preocupada por las amenazas de Estados Unidos todos los días contra
[1:23:30]  Venezuela. Porque hay ser humano. Y bien pendejo algunos de esos años que creen que hay
[1:23:38]  un basólo mata chavista. Mienga fos creen. Mienga foserien. Todavía hay algunos que le creen
[1:23:49]  a la sajona. No, no se preocupen aquí en el contrín o va a pasar nada. Aquí en como
[1:23:55]  el país arriba no va a pasar nada. No, no va a pasar nada. No hubo mirar la verdad es.
[1:24:02]  Vamos a ver este vídeo.
[1:24:25]  En todo agosto alrededor de 2015 personas han muerto por ataque si relíes en casa de los cuales
[1:24:36]  174 nobres, 600 dos niños, 187 mujeres y 70.
[1:24:42]  En el año de 2015, el año de 2015, el año de 2015, el año de 2015, fue el
[1:24:48]  año de 2016.
[1:24:49]  Netanyahu Calificate, trágico, evidente el doble ataque a los pital Nacer de gaza en el que mataron
[1:24:56]  a 21 personas. Unas explicaciones poco creíbles que se suman a esta frase suya
[1:25:02]  y insultante. Que el valor a la labor de personal médico, civiles y periodistas, los mismos
[1:25:09]  a los que más acera para que no muestre en algún dolor.
[1:25:11]  Sus, con dolencias por esta más agres.
[1:25:16]  Ni siquiera merecido una rueda de prensa, nada do la cara para pedir perdón, solo un mensaje
[1:25:21]  en redes.
[1:25:21]  Y Israel lamenta profundamente el trágico gigadente ocurrido y en el hospital Nacer de gaza.
[1:25:26]  Netanyahu Tilda de accidente la asesina tode liberado de 21 personas entre ellas, 5 periodistas
[1:25:31]  en unos pital en gaza.
[1:25:33]  Pero no esto.
[1:25:35]  No fue un accidente en Israel, bombardeo bajo sus órdenes en los pital dos veces, lanzó el primer
[1:25:40]  misil y espero a que llegas en rescatistas y periodistas.
[1:25:45]  Para lanzar el segundo, su objetivo, esta escalera.
[1:25:49]  A mí es Matón de Desyok Túbre de 2023 se reúnen los periodistas buscando un poco de
[1:25:54]  cobertura.
[1:25:55]  No os tenían identificados, sabía donde estaban.
[1:25:57]  Fueron a por ellos, claramente.
[1:25:59]  Las fuerzas de defensa de Israel están atacando deliberadamente a los periodistas.
[1:26:02]  Esto ocurre debido a una campaña de desprestigio que en parte es eficaz porque intenta
[1:26:07]  hacer ver que los periodistas que trabajan en gaza no son periodistas de verdad, que
[1:26:11]  no son profesionales.
[1:26:13]  Ya se han celebrado los funerales de algunos de los periodistas muertos.
[1:26:19]  No es exclusivo de la jardín real y también lo ha hecho el ejército estadounidense, el
[1:26:26]  ejército de sudan, es una práctica común.
[1:26:30]  Una cifra demasiado alta como para ser daños colaterales.
[1:26:33]  De hecho, superan a todos los periodistas que han muerto la guerra y posgue raadirac.
[1:26:37]  Sin hablar claro, de los más de 60 mis civiles asesinados desde este que empezó su genucidio.
[1:26:42]  Su táctica, esta.
[1:26:44]  Atáquis dobles contra hospitales, como ya hizo en 2023, donde Matón a 470 y un
[1:26:50]  personas sin darles ni una sola oportunidad.
[1:26:52]  Lo que acusan a no solo a mí, a este gobierno.
[1:26:56]  De deser un gobierno tiránico, asesino, cayan, cobaradamente.
[1:27:00]  Antes, tamaña, tamaña de evidencia.
[1:27:04]  Justifican, justifican que en este momento el gobierno asesino de Israel.
[1:27:08]  El presidente de Israel debería ser llevado a la Corte Penal Internacional junto con
[1:27:13]  el presidente de los Estados Unidos.
[1:27:15]  Si hubiera vergüenza en este mundo.
[1:27:16]  Si hubiera vergüenza en el mundo, a no nos acusan a nosotros.
[1:27:00]  cobar de mente, ante tamaña, tamaña de evidencias,
[1:27:04]  postifican que en este momento, el gobierno asesino de Israel,
[1:27:08]  el presidente de Israel debería ser llevado a la Corte Penal internacional,
[1:27:12]  junto con el presidente de los Estados Unidos,
[1:27:15]  si hubiera vergüenza en este mundo,
[1:27:17]  si hubiera vergüenza en el mundo,
[1:27:18]  han unos acusan a nosotros,
[1:27:20]  a Madrid en ella lo acusan de ser un genocida,
[1:27:22]  pero no hay una sola prueba, no hay un badido a nadie,
[1:27:24]  de eso lo no hay un badido a nadie,
[1:27:26]  afir del Castro lo acusan también,
[1:27:28]  de ser un tirano que persigue los pueblos,
[1:27:31]  y asesino,
[1:27:32]  a lo de Israel no es un señor que está defendiendo a su pueblo,
[1:27:36]  que maravillas, que sinismo,
[1:27:38]  desde mi modesta voz,
[1:27:39]  desde mi corazón profundo,
[1:27:41]  de amor por la vida,
[1:27:43]  por las justicias sociales,
[1:27:44]  oye,
[1:27:45]  cuánto estarán sufriendo los niños palestinos en esta instante,
[1:27:48]  y si fueran los tuyos,
[1:27:49]  bajo bombas de noche,
[1:27:51]  de día,
[1:27:51]  donde se meten los niños,
[1:27:53]  los niños se enten mujeres con niños chiquitos ancianos,
[1:27:56]  son unos cobaros.
[1:27:58]  Tienes latinos,
[1:28:01]  impressedove prayers,
[1:28:03]  todos lasciados,
[1:28:05]  el pl deutsche de sólo que sumo un pl highlighter,
[1:28:10]  sí ,
[1:28:12]  Chinán,
[1:28:16]  pertena al mar,
[1:28:20]  Me lo lo más tiene para el sel meetings,
[1:28:23]  pero tengarain de que este es un marz que orcapacita
[1:28:27]  ¡Pero me suura!
[1:28:34]  No, no me la verdad es.
[1:28:41]  Venezuela la patilla podría.
[1:28:44]  María Corina Machado,
[1:28:46]  la transición en Venezuela ya empezó.
[1:28:51]  Yo, yo de verdad era dejo ella esta declaración
[1:28:54]  porque yo no sabía lo que estaba pasando.
[1:28:58]  Y es que la transición ya empezó, ¿eh?
[1:29:01]  No terminó la grande o sea esa cosa.
[1:29:03]  Yo, yo, yo voy a aprovechar, voy a leer una carta que va.
[1:29:12]  Antes de darles la palabra a la sayona.
[1:29:17]  26 de agosto de 2005,
[1:29:21]  desde la clandestinidad patriona del valle arriba contra y clock.
[1:29:27]  Hola, ¿cordo?
[1:29:29]  ¿Vo, ¿cordo?
[1:29:31]  Hola, ¿cordo?
[1:29:33]  Así sí, así sí, así sí.
[1:29:35]  Hola, ¿cordo?
[1:29:36]  Mire, yo tengo una bomba hoy que voy a explotar gente.
[1:29:41]  En este, en una carta.
[1:29:43]  En más, esto es un sobre bombo hoy.
[1:29:50]  Una bomba que voy a explotar aquí en una carta.
[1:29:57]  ¿No?
[1:29:59]  No, no, no, no, es curimiento.
[1:30:00]  Solo que va, vamos a ver muchas cosas.
[1:30:03]  ¿Cómo estás tu migordido por la exía?
[1:30:11]  Yo sigo en la clandestinidad.
[1:30:14]  Hace dos días, me alegre.
[1:30:16]  Pense que sigo acabar la pesadilla de vivir con cori.
[1:30:20]  ¿Algo que solo puedo soportar por el enorme amor que tengo a mí?
[1:30:25]  ¿Qué solo puedo soportar por el enorme amor que tengo?
[1:30:29]  Yo pensé que era ella.
[1:30:31]  Resulta que cori.
[1:30:33]  Me habia dicho que estaba lista para irse del país.
[1:30:36]  Pero se arrepintió.
[1:30:39]  Y dijo que esperar unos días más a ver si llegan los marines.
[1:30:44]  No, no, los marines.
[1:30:47]  No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.
[1:30:55]  No, no, no, pues de planora inmarines, desc Ye see bien.
[1:30:58]  Por cierto, me accan de pasar esta noticia antes de...
[1:31:02]  tongue, esto es en vivo, estoy programazen.
[1:31:06]  LD h ser anunciado la cancelación del TPS
[1:31:09]  el 2021 para los venSolanos,
[1:31:10]  Alanos.
[1:31:11]  Alegando interesas de seguridad nacional,
[1:31:16]  ultima explote, no, no vite, él me lo he dado,
[1:31:18]  tal no me romano al rincón.
[1:31:21]  Pero ultima note describe.
[1:31:23]  Escribe, tron, cancela el TPS el 2001 para más de 160 y 8.000 Venezuela.
[1:31:32]  Aunque expirará este 10 de septiembre la terminación ser efectiva a 60 días después de la
[1:31:36]  publicación de la viso de la Registro Federal, ¿qué quiere decir eso?
[1:31:41]  ¿Qué hay? 260 y 8.000 Venezuela, no, que les callaron a Coba, los Gringo, ya diciendo
[1:31:45]  que eran perseguidos, aquí por el rá y de aquí deben de suela.
[1:31:53]  ¿Qué ahora ha estado sonido ya en los consyeros en este sario?
[1:31:57]  Y le están diciendo, se acabó, finis, Gain Noverro.
[1:32:10]  ¿Qué es el que se va a dar?
[1:32:12]  Hasta la vista baby.
[1:32:15]  A mí me atreste esa porque los vuelven enganñar y los usan y los usan y los bendadores de humo.
[1:32:24]  Ahora, ahora sí, a verdad, que hay gente que se va a ser preocupa que los envienden
[1:32:29]  ya en una vión.
[1:32:33]  ¿Qué?
[1:32:36]  ¿Qué uno lo reciban en, ya en el aeropuerto, yo hoy fallas siempre, a recibirlo?
[1:32:43]  ¡Ve, vaci!
[1:32:44]  Hoy, por ejemplo, fíjense, hoy.
[1:32:47]  Fíjense porque uno de esta cosa no les dice y hay gente que le cuesta creerla.
[1:32:53]  Hoy regresaron, creo que fueron 268, menesolaro.
[1:32:59]  Ya le voy a decir el número exacto, perdóname.
[1:33:02]  Porque me gusta tener precisión en esto.
[1:33:08]  Aquí, entonces, he mucha hecho.
[1:33:12]  De esto, hay.
[1:33:14]  280 y 6, ¿no? Tenía un número al rogués ahí.
[1:33:17]  250 y 3 hombres y 33 mujeres.
[1:33:21]  Se devolió una persona.
[1:33:23]  De sexo masculino.
[1:33:24]  ¿Sabe por qué se devolió?
[1:33:26]  ¿Qué gringo?
[1:33:32]  ¿Es gringo y no nos mandaron para acá?
[1:33:43]  ¿El llegó aquí a 2 pizpanos?
[1:33:52]  Y le preguntaba y entonces, he de los trautores no hay otro.
[1:33:55]  ¿Cuál es que un fron?
[1:33:57]  Y le decía, mi nezota.
[1:34:01]  Mi nezota.
[1:34:03]  No, no, no.
[1:34:05]  Gringo y no los mandaron, Dios mío, cómo puede haber tanto de sorden.
[1:34:09]  Y le voy a decir algo.
[1:34:11]  En los veces, no fue que lo agarraron ayer y lo montaron en la vión hoy.
[1:34:16]  No, el señor tenía 2 meses preso.
[1:34:20]  Y lo agarraron, pase allá.
[1:34:24]  Entonces, imaginezio tede a una carla angola, pase allá.
[1:34:28]  Ayer Dios.
[1:34:41]  ¿Qué cariño lo vamos a recibir?
[1:34:46]  Este su tierra, yo pueden venir cuando quiera, ¿me?
[1:34:53]  Claro, yo este su tierra, pero que Estados Unidos nos mande un estadounidense
[1:35:00]  deportado para Venezuela siendo estadounidense.
[1:35:04]  ¿Cuí en los quienes se es, o Dios mío?
[1:35:07]  No hay alguien que lleve el control de eso en Estados Unidos.
[1:35:13]  ¿Qué maneja eso con seridad?
[1:35:15]  Porque yo he denunciado aquí que nos dicen 300 y llegan 110.
[1:35:20]  Y nos mandan una lista y nos envió a trajente.
[1:35:22]  Pero no nos había ocurrido que nos mandaran a un estadounidense.
[1:35:26]  Pero siempre hay una primera vez.
[1:35:29]  Y no era un chamo, ¡eh! Un señor mayor, y el 4 hijos en Estados Unidos.
[1:35:34]  4 hijos.
[1:35:36]  Y su esposa es de Estados Unidos, ni siquiera se ven es suelas.
[1:35:39]  No, no, no, no, no.
[1:35:41]  Y lo mandaron un avión y fuera de aquí.
[1:35:43]  Se va a poder Venezuela.
[1:35:44]  No, ustedes se quedan de ya grabados, vaya, pues.
[1:35:47]  ¿Esta es la que se llama?
[1:35:49]  ¿Esta es la que se llama?
[1:35:54]  ¿Ah?
[1:35:55]  ¿Esta es la que se llama?
[1:35:57]  ¿Esta es la que se llama?
[1:35:58]  Sí, mira, mira.
[1:36:00]  Esa es el señor.
[1:36:01]  No solo es casado, no vea con una estadounidense,
[1:36:04]  sino dos veces tiene dos esposa.
[1:36:06]  En caso la vez se divorció y se volvió que se acontió en cuatro muchachos.
[1:36:09]  Y lo agarraron y lo montaron, me había un por, de yo, vale.
[1:36:12]  No, no, no.
[1:36:14]  Faltad de seriedad de orden.
[1:36:18]  De orden.
[1:36:20]  Ah, mi leyendo la carta, al tener nada.
[1:36:22]  No, pero esta carta no tiene nada que ver concierto,
[1:36:35]  pero sonáseria aquí que todos conocemos.
[1:36:38]  Voy, voy, voy a través.
[1:36:40]  Me hicieron interrompilar como esa mueve.
[1:36:44]  Ah, resulta que Cori me había dicho que estaba lista
[1:36:48]  para irse del país, pero se arrepintió.
[1:36:51]  Y dijo que ves para unos días más a ver si llegan los marín.
[1:36:55]  Entonces, entre paréntese, no arrepintió.
[1:36:40]  Me hicieron interrompiel como esa mueva.
[1:36:45]  Resulta que Cory me había dicho que estaba lista para irse del país,
[1:36:50]  pero se arrepintió.
[1:36:52]  Y dijo que ves, pero no nos días más a ver si llegan los marines.
[1:36:56]  En el paréntese, no, no, no, no, no.
[1:37:00]  Es que la persona que tenía toda la logística
[1:37:03]  para sacarla Venezuela tuvo un pequeño percancer.
[1:37:08]  ¿Qué supongo se prolongará por unos cuantos meses?
[1:37:12]  Creo que le llegó la policía.
[1:37:18]  Creo que le llegó la policía.
[1:37:23]  Bueno, Diosdad, José, tu me entendiste bien.
[1:37:26]  No, yo no le entendí, yo porque supongo, ¿eh?
[1:37:33]  Sí, la pelea es peleando, la cosa sea poner difícil para todo el mundo.
[1:37:38]  Me atornó un lo que ha aponado difícil.
[1:37:48]  Mientras tanto, Tomé mi gafa, Carolina Rera, raca,
[1:37:53]  mi cartera lo he mutado.
[1:37:56]  Y me viene supercul, super relajada
[1:37:59]  a hallarme en clandestinamente en la piscina del club,
[1:38:03]  Clark, y a tomarme una copita de burbujitas.
[1:38:06]  Es decir, de champaña, porque la única forma que he conseguido
[1:38:11]  para hogar mis penas por ser la mejor amiga de Cory,
[1:38:15]  aunque yo creo que pronto se nos va.
[1:38:18]  Dios, por culpa de la champaña y la tristeza que Cory se va,
[1:38:22]  hoy te escribiré poquito, o sea, por favor.
[1:38:26]  Me chupi chupi, guana, guana, guana, guana, guana.
[1:38:30]  Si me he era chupi chupi de catucha, fue otra cosa.
[1:38:34]  De esa era lo que ha de catucha.
[1:38:38]  Todos.
[1:38:40]  No sabe, el catucha es el nombre de la guana,
[1:38:45]  el nombre real de la guana, guana.
[1:38:47]  Catuches, catuches, es un nombre indígena.
[1:38:51]  Catuches.
[1:38:53]  Entonces, aquí ahí la quiere catucha,
[1:38:57]  pero entonces guana, guana, guana, guana, no puedo.
[1:39:00]  Yo como es guana, guana.
[1:39:03]  Por cierto, mire.
[1:39:06]  Al aguana, al catucha.
[1:39:09]  A catuches te la agarran.
[1:39:11]  Le veo una receta, pues.
[1:39:13]  ¿Qué era un helado de catucha?
[1:39:17]  Pero, he hecho, como esa más rayadura de conchita,
[1:39:22]  limón, mire, comparta, palcelo, yo.
[1:39:26]  Si, el, el, sí, en leche, eso sí en leche.
[1:39:30]  No, no, no, no, el, el, el, el, el, el, una cosa bien cremosa.
[1:39:34]  Bien cremosa y te arriba la raya.
[1:39:38]  ¿Aprueveno así, porque te veo?
[1:39:41]  Y me chieno, pues.
[1:39:43]  Mi chupi chupi, guana, guana.
[1:39:45]  Todo está muy enraresido en el ambiente de cori.
[1:39:49]  Pues aún, en medio de toda la búlla,
[1:39:52]  que ella impulcen las redes sociales juntos,
[1:39:54]  sus cicarios digitales.
[1:39:55]  La porecita de cori se quedó en el limbo.
[1:39:58]  Yo todo el apoyo interno que le quedaba y su agenda de trabajo
[1:40:02]  que dos sujetan lánimo y a los intereses de lo que tienen al departamento de Estado.
[1:40:07]  O sea, cori ya no existe.
[1:40:09]  Políticamente, cero.
[1:40:11]  Bebito.
[1:40:14]  Cori está políticamente desausiada.
[1:40:16]  Para hacer más explícita, eso pasa cuando tú no puedes decidir
[1:40:19]  absolutamente nada y otros te dicen que hacer cómo y cuando.
[1:40:24]  Por eso es que su única esperanza es que llega una fuerza de otra galaxia.
[1:40:27]  Y la salve.
[1:40:30]  Sus propias mentiras y engaños la se pultaron.
[1:40:33]  Cori, ¿ví?
[1:40:36]  Por eso va a que dijo en esto, si ya que un rayo de luz.
[1:40:39]  Yo me asusté.
[1:40:42]  No, la un rayo de luz así no se hace el camino falla
[1:40:45]  por otro lado, yo.
[1:40:46]  Ah, no, alejése la luz, alejáte la luz.
[1:40:52]  Alejáte.
[1:40:53]  Agarré el camino culébrero, le explonde ahí es pino.
[1:41:02]  No te metas por ahí, pongo.
[1:41:04]  Es una trampa.
[1:41:07]  Por eso es que es un asama, no te voy.
[1:41:10]  Cori vive soñando despierta.
[1:41:12]  Y solo quiere vivir en el falso momento donde llega una transición
[1:41:16]  y ella es la sobreviviente de signada.
[1:41:18]  Me vito.
[1:41:19]  Cori está convencida de que si le dan el chance,
[1:41:22]  ella gobernara sola al punto de no incluir al tío y munden sus planes
[1:41:26]  de govierno.
[1:41:27]  Pero ella bruta, no es.
[1:41:29]  Por eso le hace creer a los gringos a los europeos
[1:41:32]  de ciertas personalidades de interés nacional internacional.
[1:41:35]  Que ella y tío y mundo son hermanitos gemelos,
[1:41:38]  que se aman y se quieren, que son inseparables o sea,
[1:41:41]  más mentirosa y muero morida.
[1:41:43]  El mico-moteca de manzán.
[1:41:48]  Llego lo que tanto abartimos.
[1:41:52]  Llego el chau del falso positivo.
[1:41:55]  Te pueden buscar los másos que yo.
[1:41:57]  Todo lo que estoy ocurriendo yo lo dije.
[1:41:59]  Guillana y un falso positivo.
[1:42:02]  Porque el falso positivo lo adelanto.
[1:42:04]  Te tengo una de las cartas que me enviaron porque lo vi.
[1:42:07]  El falso positivo, por eso es que hablaban de buque,
[1:42:10]  porque yo quiere en cebra un buque petrolero.
[1:42:13]  Lo que lo está más avisando con tiempo,
[1:42:16]  que acturaron un buque petrolero en el solano y decir,
[1:42:19]  es detenidad drogas.
[1:42:21]  Es el la historia que yo quiere meter.
[1:42:23]  La historia de Marco Rubio, que está empenizado
[1:42:26]  en generar las manos de sangre a donal tromo y lo está logrando.
[1:42:30]  Lo está logrando.
[1:42:33]  Cori, vives su hija.
[1:42:36]  Mi compótica de manzana.
[1:42:40]  Llego lo que tanto abartimos.
[1:42:43]  Llego el hecho del falso positivo para poder justificar la mellonada
[1:42:47]  que se están gastando.
[1:42:48]  Mija Miguel Losgringo en el despliegue militar por el marcaribe.
[1:42:52]  Una mala escena es lo que vivimos ayer.
[1:42:54]  Comenzando por las contradicciones entre mi amiga y ser el catímetro
[1:42:57]  y los congresistas cubano americano.
[1:42:59]  De inmediato surgió un primer desencuentro
[1:43:02]  por el repentino cambio de actores.
[1:43:04]  Al final del día ya no era el supuesto cartel de los soles.
[1:43:08]  ¿Quién estaba supuestamente traficando?
[1:43:11]  Si no que terminó siendo según Mija Miguel Losgringo,
[1:43:14]  el inesistente traen de araguas.
[1:43:17]  Miso pita mal y palratón que tengo.
[1:43:23]  Hasta hoy.
[1:43:27]  Mucho hay poco se sabe.
[1:43:30]  Sobre el chauque han querido montar
[1:43:32]  para justificar la agresión contra nuestro pueblo
[1:43:35]  y reforzar la narrativa de que somos un arco estado.
[1:43:39]  Pero todo lo que ha salido hasta el momento se contradice.
[1:43:43]  Desde los supuestos autores del chau.
[1:43:45]  El modelo y tamaño de la embarcación.
[1:43:48]  Si realmente había onozrogas y cuánta cantidad
[1:43:52]  si había onozgón se persona.
[1:43:55]  Es más.
[1:43:56]  Todavía nos preguntamos si existe onozg la embarcación.
[1:44:01]  Dios mío.
[1:44:03]  Yo me quede pensando sobre el tema.
[1:44:06]  Me quede mirando fijamente al espejo.
[1:44:08]  Me dije a mí misma.
[1:44:10]  Me misma.
[1:44:14]  Si la embarcación de verdad existió y fue habistada por mis amigues
[1:44:17]  los gringos, porque no se le dio la viso previo
[1:44:20]  para proceder a la captura con el de comiso respectivo
[1:44:23]  y preferieron optar por un ataque directo
[1:44:26]  que acabó con la supuesta escena del delito.
[1:44:29]  En fin, vebito esto recién comienza.
[1:44:33]  Pero por donde lo vires es una operación de falsa bandera.
[1:44:37]  Por favor.
[1:44:39]  Por si es todo Diosdi.
[1:44:41]  Te dice cuenta que córre y magáli ti un mundo le déjame
[1:44:44]  y otros de los piosos del círculo de cori no han dicho ni pío
[1:44:48]  sobre el caso de la supuesta narcoleancha.
[1:44:54]  Mi vaso de taco frío.
[1:45:02]  No porque a lo que pasa es que el todo dijo otro nivel.
[1:45:06]  No, Diosdi.
[1:45:07]  No, Diosdi.
[1:45:11]  Mi vaso de taco frío.
[1:45:16]  A los jóvenes de hoy todavía comen a urtarillas
[1:45:22]  la leche con azúcar.
